id;name;description;start_date;end_date;status;fees_per_unit_per_month;union_head_name;union_head_mobile_number;number_of_units;consent_provided_by;consent_provided_on;created_by;created_date;last_modified_by;last_modified_date;deleted_date
1;flame swiftly pale;hmph fall often;2025-06-01;2025-05-31;DISABLED_PERMANENTLY;22655.68;left cheerful yahoo;synthesise dreamily chow;32085;what out;2025-05-31T12:27:32;woot sans out;2025-06-01T07:44:58;ceramics beautifully;2025-06-01T00:51:42;2025-05-31T17:01:52
2;huzzah;powerfully repeatedly outlaw;2025-06-01;2025-06-01;INACTIVE;10199.78;what catch;slip vague;6744;engage;2025-05-31T12:46:27;openly;2025-06-01T02:41:36;upright mushy;2025-06-01T01:34:42;2025-05-31T11:51:53
3;qua barracks meh;attest;2025-05-31;2025-05-31;DISABLED_TEMPORARILY;9577.21;despite while modulo;joy qua operating;1446;pfft tabletop valiantly;2025-06-01T06:14:55;kielbasa;2025-06-01T01:43:38;unhealthy;2025-06-01T00:45:10;2025-06-01T04:23:04
4;expansion subexpression colon;who enormously if;2025-06-01;2025-06-01;ACTIVE;27426.88;summer whoever a;petty opposite;3642;frenetically;2025-06-01T06:07:30;blink nudge given;2025-05-31T22:42:38;petal besides;2025-06-01T01:44:42;2025-05-31T11:18:51
5;ha papa if;zowie phew;2025-05-31;2025-05-31;INACTIVE;23231.14;which um;phew astride weekly;13184;distorted;2025-06-01T02:42:32;yippee minor;2025-06-01T01:07:24;blond however;2025-05-31T22:19:06;2025-05-31T10:34:13
6;bah;broadside interior;2025-05-31;2025-05-31;ACTIVE;4006.13;tenement immediate never;hence;14747;suffice;2025-05-31T16:10:19;corral across;2025-05-31T19:55:41;rebuke;2025-05-31T18:21:35;2025-05-31T12:09:38
7;reconstitute whenever mostly;collaboration supposing;2025-05-31;2025-05-31;INACTIVE;2546.74;voluntarily waterlogged;about whether;18545;for;2025-05-31T13:41:10;whenever birdcage;2025-06-01T03:51:30;sesame indeed well;2025-06-01T03:17:35;2025-06-01T06:22:09
8;impolite damp perspire;upbeat;2025-05-31;2025-06-01;DISABLED_TEMPORARILY;17924.54;meh easy;yippee;22369;triangular larva;2025-06-01T08:39:02;axe;2025-05-31T13:20:05;fervently;2025-06-01T03:55:32;2025-06-01T05:22:37
9;divine pfft alongside;flood;2025-06-01;2025-05-31;INACTIVE;13317.95;less cram;indeed nervously gazebo;7683;behold whoa;2025-06-01T05:57:56;yum seriously so;2025-06-01T00:15:59;sedately supposing;2025-05-31T10:38:15;2025-06-01T00:46:15
10;plastic;unlike behind;2025-06-01;2025-06-01;DISABLED_TEMPORARILY;7380.99;ultimately wee;beneath rebound;25858;glimmer from;2025-05-31T19:18:05;ick;2025-05-31T18:56:53;untried meaningfully enthusiastically;2025-05-31T09:09:07;2025-05-31T23:32:29
