id;first_name;last_name;email;phone_number;status;created_by;created_date;last_modified_by;last_modified_date;deleted_on
1;Zakary;Wintheiser;Yasmine.Legros27@hotmail.com;gee yum oof;INACTIVE;represent zowie unit;2025-05-31T21:14:44;mummify solemnly;2025-05-31T13:59:23;2025-05-31T16:52:05
2;Gertrude;White;Dannie_Sanford52@yahoo.com;faint weird glass;DISABLED_TEMPORARILY;rejoin ah devise;2025-06-01T08:19:02;intellect supplier;2025-06-01T06:40:39;2025-06-01T07:07:42
3;Raquel;Streich;Gregorio_Blanda@gmail.com;quietly;ACTIVE;besides;2025-05-31T12:57:42;meh for common;2025-05-31T17:32:51;2025-06-01T02:04:51
4;Seth;Zieme;Else74@yahoo.com;out;DISABLED_PERMANENTLY;phooey hmph;2025-05-31T22:02:00;meh trivial;2025-06-01T08:25:51;2025-05-31T22:08:00
5;Julia;Gulgowski;Deon_Schoen38@hotmail.com;gruesome inwardly whether;DISABLED_PERMANENTLY;as;2025-06-01T01:30:53;barracks;2025-05-31T15:01:39;2025-06-01T04:41:05
6;Gunner;Daugherty-Nader;Nia_Gleichner@gmail.com;coin revitalise overconfidently;DISABLED_PERMANENTLY;huzzah;2025-06-01T06:40:42;gentle refine;2025-06-01T01:05:36;2025-05-31T15:47:46
7;Susanna;Shields;Rigoberto_Schmeler@gmail.com;deduction;DISABLED_PERMANENTLY;cleverly;2025-06-01T01:24:08;supposing formal;2025-06-01T06:09:18;2025-05-31T18:22:07
8;Dan;Collier;Devin16@gmail.com;jagged unto;DISABLED_TEMPORARILY;until quizzically daintily;2025-06-01T04:30:28;zealous;2025-05-31T20:40:52;2025-05-31T10:19:02
9;Bethel;Bauch;Warren_Luettgen65@hotmail.com;now joyfully that;DISABLED_PERMANENTLY;yowza;2025-05-31T17:26:28;yawningly or;2025-05-31T23:28:10;2025-05-31T19:11:05
10;Citlalli;Grimes;Jeff_Grady60@yahoo.com;lifestyle husky;ACTIVE;reboot save;2025-06-01T01:23:57;obediently wedding;2025-06-01T01:57:00;2025-05-31T10:39:05
